times
2019-10-15 07:54:36.973000
2019-10-15 07:58:29.080000
2019-10-15 08:02:20.117000
2019-10-15 08:12:49.624000
2019-10-17 08:27:42.842000
2019-10-22 08:36:13.349000
2019-10-29 08:30:47.475000
2019-10-31 07:52:38.260000
2019-10-31 08:31:19.984000
2019-11-05 08:31:11.640000
2019-11-07 08:28:56.103000
2019-11-12 08:30:47.095000
2019-11-14 07:46:07.306000
2019-11-14 08:29:04.475000
2019-11-19 08:32:46.945000
2019-11-21 07:59:18.143000
2019-11-21 08:27:26.711000
2019-11-26 08:29:36.492000
2019-11-28 07:50:32.962000
2019-11-28 08:32:41.215000
2019-12-03 08:30:41.857000
2019-12-05 08:23:59.195000
2019-12-12 07:42:20.603000
2019-12-12 08:24:37.270000
2019-12-17 08:26:57.551000
2019-12-19 08:25:47.522000
2020-01-03 07:47:29.830000
2020-01-03 07:50:13.238000
2020-01-07 08:36:34.874000
2020-01-09 08:33:16.925000
2020-01-14 08:21:01.058000
2020-01-16 08:29:49.891000
2020-01-21 08:29:38.275000
2020-01-23 08:21:28.973000
