fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,80,114,95,21527,20999,20467,19915,19359,18815,18279,17743,17211,16691,16183,15671,14671,14167,13663,69,331,73
26,1f,80,vd,82,115,97,22559,22051,21527,20999,20467,19915,19359,18815,18279,17743,17211,16691,16183,15671,14671,69,331,73
26,1f,80,vd,81,115,99,23579,23075,22559,22051,21527,20999,20467,19915,19359,18815,18279,17743,17211,16691,16183,101,256,75
26,1f,80,vd,80,115,101,24599,24087,23579,23075,22559,22051,21527,20999,20467,19915,19359,18815,18279,17743,17211,101,256,75
26,1f,80,vd,79,115,103,25631,25119,24599,24087,23579,23075,22559,22051,21527,20999,20467,19915,19359,18815,18279,128,200,76
26,1f,80,vd,79,115,105,26663,26147,25631,25119,24599,24087,23579,23075,22559,22051,21527,20999,20467,19915,19359,128,200,76
26,1f,80,vd,81,116,107,27695,27179,26663,26147,25631,25119,24599,24087,23579,23075,22559,22051,21527,20999,20467,165,281,78
26,1f,80,vd,78,116,109,28743,28219,27695,27179,26663,26147,25631,25119,24599,24087,23579,23075,22559,22051,21527,165,281,78
26,1f,80,vd,79,115,111,29831,29283,28743,28219,27695,27179,26663,26147,25631,25119,24599,24087,23579,23075,22559,192,200,80
26,1f,80,vd,78,115,113,30883,30359,29831,29283,28743,28219,27695,27179,26663,26147,25631,25119,24599,24087,23579,192,200,80
26,1f,80,vd,80,115,115,31915,31419,30883,30359,29831,29283,28743,28219,27695,27179,26663,26147,25631,25119,24599,219,200,81
26,1f,80,vd,79,115,117,32931,32427,31915,31419,30883,30359,29831,29283,28743,28219,27695,27179,26663,26147,25631,219,200,81
26,1f,80,vd,77,116,119,33955,33439,32931,32427,31915,31419,30883,30359,29831,29283,28743,28219,27695,27179,26663,254,281,83
26,1f,80,vd,79,116,120,34471,33955,33439,32931,32427,31915,31419,30883,30359,29831,29283,28743,28219,27695,27179,254,281,83
26,1f,80,vd,79,116,122,35511,34991,34471,33955,33439,32931,32427,31915,31419,30883,30359,29831,29283,28743,28219,286,256,85
26,1f,80,vd,76,115,124,36571,36043,35511,34991,34471,33955,33439,32931,32427,31915,31419,30883,30359,29831,29283,286,256,85
26,1f,80,vd,77,115,126,37651,37107,36571,36043,35511,34991,34471,33955,33439,32931,32427,31915,31419,30883,30359,318,256,86
26,1f,80,vd,78,114,128,38723,38191,37651,37107,36571,36043,35511,34991,34471,33955,33439,32931,32427,31915,31419,318,256,86
26,1f,80,vd,79,114,130,39795,39263,38723,38191,37651,37107,36571,36043,35511,34991,34471,33955,33439,32931,32427,362,331,88
26,1f,80,vd,78,114,132,40843,40315,39795,39263,38723,38191,37651,37107,36571,36043,35511,34991,34471,33955,33439,362,331,88
26,1f,80,vd,79,114,134,41883,41367,40843,40315,39795,39263,38723,38191,37651,37107,36571,36043,35511,34991,34471,405,331,90
26,1f,80,vd,79,114,136,42935,42399,41883,41367,40843,40315,39795,39263,38723,38191,37651,37107,36571,36043,35511,405,331,90
26,1f,80,vd,78,115,138,43951,43435,42935,42399,41883,41367,40843,40315,39795,39263,38723,38191,37651,37107,36571,437,256,92
26,1f,80,vd,79,115,139,44471,43951,43435,42935,42399,41883,41367,40843,40315,39795,39263,38723,38191,37651,37107,437,256,92
26,1f,80,vd,79,115,141,45523,44995,44471,43951,43435,42935,42399,41883,41367,40843,40315,39795,39263,38723,38191,482,356,94
26,1f,80,vd,79,115,143,46567,46043,45523,44995,44471,43951,43435,42935,42399,41883,41367,40843,40315,39795,39263,482,356,94
26,1f,80,vd,79,115,145,47623,47091,46567,46043,45523,44995,44471,43951,43435,42935,42399,41883,41367,40843,40315,515,256,95
26,1f,80,vd,79,115,147,48663,48143,47623,47091,46567,46043,45523,44995,44471,43951,43435,42935,42399,41883,41367,515,256,95
26,1f,80,vd,80,115,149,49707,49183,48663,48143,47623,47091,46567,46043,45523,44995,44471,43951,43435,42935,42399,560,356,97
26,1f,80,vd,79,115,151,50739,50227,49707,49183,48663,48143,47623,47091,46567,46043,45523,44995,44471,43951,43435,560,356,97
26,1f,80,vd,78,115,152,51247,50739,50227,49707,49183,48663,48143,47623,47091,46567,46043,45523,44995,44471,43951,605,356,99
26,1f,80,vd,79,115,154,52759,52255,51247,50739,50227,49707,49183,48663,48143,47623,47091,46567,46043,45523,44995,605,356,99
26,1f,80,vd,79,116,155,53767,52759,52255,51247,50739,50227,49707,49183,48663,48143,47623,47091,46567,46043,45523,638,256,101
26,1f,80,vd,79,116,157,54791,54279,53767,52759,52255,51247,50739,50227,49707,49183,48663,48143,47623,47091,46567,638,256,101
26,1f,80,vd,79,116,159,55815,55303,54791,54279,53767,52759,52255,51247,50739,50227,49707,49183,48663,48143,47623,683,356,103
26,1f,80,vd,80,116,161,56871,56339,55815,55303,54791,54279,53767,52759,52255,51247,50739,50227,49707,49183,48663,683,356,103
26,1f,80,vd,80,116,163,57907,57391,56871,56339,55815,55303,54791,54279,53767,52759,52255,51247,50739,50227,49707,728,356,105
26,1f,80,vd,81,116,165,58939,58423,57907,57391,56871,56339,55815,55303,54791,54279,53767,52759,52255,51247,50739,728,356,105
26,1f,80,vd,80,116,166,59463,58939,58423,57907,57391,56871,56339,55815,55303,54791,54279,53767,52759,52255,51247,762,256,106
26,1f,80,vd,80,116,168,60499,59983,59463,58939,58423,57907,57391,56871,56339,55815,55303,54791,54279,53767,52759,762,256,106
26,1f,80,vd,79,116,169,61527,60499,59983,59463,58939,58423,57907,57391,56871,56339,55815,55303,54791,54279,53767,806,356,108
26,1f,80,vd,78,116,171,62547,62043,61527,60499,59983,59463,58939,58423,57907,57391,56871,56339,55815,55303,54791,806,356,108
26,1f,80,vd,79,116,173,63563,63055,62547,62043,61527,60499,59983,59463,58939,58423,57907,57391,56871,56339,55815,851,356,110
26,1f,80,vd,79,116,175,64607,64083,63563,63055,62547,62043,61527,60499,59983,59463,58939,58423,57907,57391,56871,851,356,110
26,1f,80,vd,80,116,177,99,65119,64607,64083,63563,63055,62547,62043,61527,60499,59983,59463,58939,58423,57907,885,256,112
26,1f,80,vd,80,116,179,1139,623,99,65119,64607,64083,63563,63055,62547,62043,61527,60499,59983,59463,58939,885,256,112
26,1f,80,vd,80,116,181,2183,1659,1139,623,99,65119,64607,64083,63563,63055,62547,62043,61527,60499,59983,930,356,114
26,1f,80,vd,78,116,183,3219,2723,2183,1659,1139,623,99,65119,64607,64083,63563,63055,62547,62043,61527,930,356,114
26,1f,80,vd,78,116,185,4235,3727,3219,2723,2183,1659,1139,623,99,65119,64607,64083,63563,63055,62547,974,356,116
26,1f,80,vd,79,116,187,5239,4735,4235,3727,3219,2723,2183,1659,1139,623,99,65119,64607,64083,63563,974,356,116
26,1f,80,vd,79,117,189,6239,5739,5239,4735,4235,3727,3219,2723,2183,1659,1139,623,99,65119,64607,1008,256,117
26,1f,80,vd,79,117,190,6735,6239,5739,5239,4735,4235,3727,3219,2723,2183,1659,1139,623,99,65119,1008,256,117
26,1f,80,vd,79,118,192,8243,7735,6735,6239,5739,5239,4735,4235,3727,3219,2723,2183,1659,1139,623,1053,356,119
26,1f,80,vd,78,118,193,9247,8243,7735,6735,6239,5739,5239,4735,4235,3727,3219,2723,2183,1659,1139,1053,356,119
26,1f,80,vd,78,118,195,10275,9759,9247,8243,7735,6735,6239,5739,5239,4735,4235,3727,3219,2723,2183,1086,256,121
26,1f,80,vd,78,118,197,11287,10779,10275,9759,9247,8243,7735,6735,6239,5739,5239,4735,4235,3727,3219,1086,256,121
26,1f,80,vd,80,118,199,12303,11795,11287,10779,10275,9759,9247,8243,7735,6735,6239,5739,5239,4735,4235,1131,356,123
26,1f,80,vd,78,118,201,13311,12811,12303,11795,11287,10779,10275,9759,9247,8243,7735,6735,6239,5739,5239,1131,356,123
26,1f,80,vd,76,118,203,14315,13815,13311,12811,12303,11795,11287,10779,10275,9759,9247,8243,7735,6735,6239,1176,356,125
26,1f,80,vd,78,118,205,15311,14815,14315,13815,13311,12811,12303,11795,11287,10779,10275,9759,9247,8243,7735,1176,356,125
26,1f,80,vd,79,119,207,16287,15799,15311,14815,14315,13815,13311,12811,12303,11795,11287,10779,10275,9759,9247,1210,256,126
26,1f,80,vd,80,119,209,17251,16771,16287,15799,15311,14815,14315,13815,13311,12811,12303,11795,11287,10779,10275,1210,256,126
26,1f,80,vd,78,120,211,18211,17727,17251,16771,16287,15799,15311,14815,14315,13815,13311,12811,12303,11795,11287,1254,356,0
26,1f,80,vd,80,121,213,19183,18691,18211,17727,17251,16771,16287,15799,15311,14815,14315,13815,13311,12811,12303,1254,356,0
26,1f,80,vd,80,121,215,20171,19671,19183,18691,18211,17727,17251,16771,16287,15799,15311,14815,14315,13815,13311,1299,356,2
26,1f,80,vd,81,121,217,21187,20675,20171,19671,19183,18691,18211,17727,17251,16771,16287,15799,15311,14815,14315,1299,356,2
26,1f,80,vd,79,120,219,22207,21699,21187,20675,20171,19671,19183,18691,18211,17727,17251,16771,16287,15799,15311,1333,256,4
26,1f,80,vd,80,120,220,22723,22207,21699,21187,20675,20171,19671,19183,18691,18211,17727,17251,16771,16287,15799,1333,256,4
26,1f,80,vd,80,119,222,24255,23735,22723,22207,21699,21187,20675,20171,19671,19183,18691,18211,17727,17251,16771,1366,256,5
26,1f,80,vd,80,119,224,25199,24719,24255,23735,22723,22207,21699,21187,20675,20171,19671,19183,18691,18211,17727,1366,256,5
26,1f,80,vd,78,119,226,26135,25667,25199,24719,24255,23735,22723,22207,21699,21187,20675,20171,19671,19183,18691,1400,256,7
26,1f,80,vd,80,120,228,27071,26603,26135,25667,25199,24719,24255,23735,22723,22207,21699,21187,20675,20171,19671,1400,256,7
26,1f,80,vd,81,121,230,28019,27547,27071,26603,26135,25667,25199,24719,24255,23735,22723,22207,21699,21187,20675,1445,356,9
26,1f,80,vd,80,121,232,28975,28491,28019,27547,27071,26603,26135,25667,25199,24719,24255,23735,22723,22207,21699,1445,356,9
26,1f,80,vd,81,122,234,29939,29455,28975,28491,28019,27547,27071,26603,26135,25667,25199,24719,24255,23735,22723,1488,331,11
26,1f,80,vd,80,122,236,30927,30431,29939,29455,28975,28491,28019,27547,27071,26603,26135,25667,25199,24719,24255,1488,331,11
26,1f,80,vd,80,121,238,31931,31431,30927,30431,29939,29455,28975,28491,28019,27547,27071,26603,26135,25667,25199,1520,256,12
26,1f,80,vd,78,121,240,32939,32431,31931,31431,30927,30431,29939,29455,28975,28491,28019,27547,27071,26603,26135,1520,256,12
26,1f,80,vd,78,121,242,33955,33455,32939,32431,31931,31431,30927,30431,29939,29455,28975,28491,28019,27547,27071,1563,331,14
26,1f,80,vd,79,120,244,34971,34463,33955,33455,32939,32431,31931,31431,30927,30431,29939,29455,28975,28491,28019,1563,331,14
26,1f,80,vd,80,120,246,35979,35475,34971,34463,33955,33455,32939,32431,31931,31431,30927,30431,29939,29455,28975,1606,331,16
26,1f,80,vd,80,120,248,36999,36483,35979,35475,34971,34463,33955,33455,32939,32431,31931,31431,30927,30431,29939,1606,331,16
26,1f,80,vd,79,121,250,37963,37471,36999,36483,35979,35475,34971,34463,33955,33455,32939,32431,31931,31431,30927,1638,256,18
26,1f,80,vd,80,121,252,38959,38459,37963,37471,36999,36483,35979,35475,34971,34463,33955,33455,32939,32431,31931,1638,256,18
26,1f,80,vd,80,120,254,39975,39467,38959,38459,37963,37471,36999,36483,35979,35475,34971,34463,33955,33455,32939,1683,356,20
26,1f,80,vd,79,120,0,41007,40487,39975,39467,38959,38459,37963,37471,36999,36483,35979,35475,34971,34463,33955,1683,356,20
26,1f,80,vd,79,119,2,42079,41547,41007,40487,39975,39467,38959,38459,37963,37471,36999,36483,35979,35475,34971,1717,256,21
26,1f,80,vd,79,118,4,43159,42615,42079,41547,41007,40487,39975,39467,38959,38459,37963,37471,36999,36483,35979,1717,256,21
26,1f,80,vd,78,117,6,44247,43707,43159,42615,42079,41547,41007,40487,39975,39467,38959,38459,37963,37471,36999,1762,356,23
26,1f,80,vd,79,116,8,45319,44783,44247,43707,43159,42615,42079,41547,41007,40487,39975,39467,38959,38459,37963,1762,356,23
26,1f,80,vd,79,116,9,46371,45319,44783,44247,43707,43159,42615,42079,41547,41007,40487,39975,39467,38959,38459,1806,356,25
26,1f,80,vd,79,115,11,47395,46883,46371,45319,44783,44247,43707,43159,42615,42079,41547,41007,40487,39975,39467,1806,356,25
26,1f,80,vd,79,115,12,47911,47395,46883,46371,45319,44783,44247,43707,43159,42615,42079,41547,41007,40487,39975,1840,256,27
26,1f,80,vd,80,115,14,48959,48431,47911,47395,46883,46371,45319,44783,44247,43707,43159,42615,42079,41547,41007,1840,256,27
26,1f,80,vd,79,115,16,49991,49483,48959,48431,47911,47395,46883,46371,45319,44783,44247,43707,43159,42615,42079,1885,356,29
26,1f,80,vd,79,115,18,51031,50503,49991,49483,48959,48431,47911,47395,46883,46371,45319,44783,44247,43707,43159,1885,356,29
26,1f,80,vd,80,114,20,52127,51583,51031,50503,49991,49483,48959,48431,47911,47395,46883,46371,45319,44783,44247,1930,356,31
26,1f,80,vd,80,114,22,53227,52671,52127,51583,51031,50503,49991,49483,48959,48431,47911,47395,46883,46371,45319,1930,356,31
26,1f,80,vd,79,113,24,54403,53811,53227,52671,52127,51583,51031,50503,49991,49483,48959,48431,47911,47395,46883,1963,256,32
