fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,91,92,102,1467,851,247,65167,64535,63895,63091,62591,61931,61251,60579,59915,59231,58563,57911,2290,0,110
26,1f,80,vd,93,92,104,2707,2091,1467,851,247,65167,64535,63895,63091,62591,61931,61251,60579,59915,59231,2290,0,110
26,1f,80,vd,94,93,106,3983,3339,2707,2091,1467,851,247,65167,64535,63895,63091,62591,61931,61251,60579,2290,0,110
26,1f,80,vd,92,93,107,4647,3983,3339,2707,2091,1467,851,247,65167,64535,63895,63091,62591,61931,61251,2290,0,110
26,1f,80,vd,92,92,108,5331,4647,3983,3339,2707,2091,1467,851,247,65167,64535,63895,63091,62591,61931,2290,0,110
26,1f,80,vd,92,91,110,6731,6027,5331,4647,3983,3339,2707,2091,1467,851,247,65167,64535,63895,63091,2290,0,110
26,1f,80,vd,93,91,111,7415,6731,6027,5331,4647,3983,3339,2707,2091,1467,851,247,65167,64535,63895,2290,0,110
26,1f,80,vd,89,91,114,8917,8325,8075,7415,6731,6027,5331,4647,3983,3339,2707,2091,1467,851,247,2290,0,110
